"Part fools, put up your swords. You know not what you do",benvolio
Peace? I hate the word,tybalt
"I do bite my thumb, sir",sampson
I do but keep the peace,benvolio
your lives shall pay the forfeit of the peace,prince
sad hours seem long,romeo
o brawling love. o loving hate,romeo
greifs of mine own lie heavy on my breast,romeo
forget to think of her,benvolio
examine other beauties,benvolio
my child is yet a stranger in this world,capulet
younger than she are happy mothers made,paris
I shall make thee think thy swan a crow,benvolio
"and if you not be of the house of montagues, I pray come and crush a cup of wine",peter
a lump as big as a young cockerel's stone,nurse
"enough of this. I pray thee, hold thy peace",lady capulet
"go, girl, seek happy nights to happy days",nurse
i'll look to like if looking liking move,juliet
"if love be rough with you, be rough with love",mercutio
dreamers often lie,mercutio
I had a dream last night,romeo
she doth teach the torches to burn bright,romeo
did my heart love till now?,romeo
fetch me my rapier boy,tybalt
to strike him dead i gold it not a sin,tybalt
"therefore be patient, take no note of him",capulet
I'll make you quiet,capulet
let lips do what hands do,romeo
you kiss by th' book,juliet
my life is my foe's debt,romeo
my only love sprung from my only hate,juliet
the only son of your great enemy,nurse
wherefore art thou romeo,juliet
"romeo, doth thy name",juliet
"my name, dear saint, is hateful to myself",romeo
"it is too rash, too unadvised, too sudden",juliet
god pardon sin!,friar
but this I pray: That thou consent to marry us today,romeo
"Young men's love then lies Not truly in their hearts, but in their eyes",friar
to turn your households' rancor to pure love,friar
they stumble that run fast,friar
"two, two - a shirt and a smock",mercutio
"this afternoon, sir? well she shall be there",nurse
but you shall bear the burden soon at night,nurse
"is thy news good, or bad? answer to that",juliet
these violent delights have violent ends,friar
let's retire,benvolio
make it a sword and a blow,mercutio
thou art a villain,tybalt
"calm dishonourable, vile submission",mercutio
a plague o' both your houses,mercutio
take that 'villain' back,romeo
"oh, I am fortune;s fool!",romeo
slain by young romeo,benvolio
affection makes him false. he speaks not true,lady capulet
immediately we do exile him,prince
and learn me how to lose a winning match,juliet
honourable villain,romeo
"be merciful, say 'death'",romeo
"my lord, I would that thursday were tomorrow",paris
"methinks I see thee now, thou art so low as one dead in the bottom of a tomb",juliet
proud can I never be of what I hate,juliet
my fingers itch,capulet
disobidient wretch,capulet
we have a curse in having her,capulet
"fie, fie! what, are you mad?",lady capulet
"peace, you mumbling fool",capulet
I think it best you marry with the county,nurse
"that may be, sir, when I may be a wife",juliet
this bloody knife shall be the umpire,juliet
I long to die,juliet
what if it be a poison,juliet
I drink to thee,juliet
O lamentable day!,nurse
I will lie with you tonight,romeo
I defy you stars!,romeo
"there is thy gold, worse poison to men's souls",romeo
and the neglecting it may do much danger,friar
"if thou be merciful, open the tomb. lay me with juliet",paris
and death's pale flag is not advancèd there,romeo
here is to my love,romeo
I dare no longer stay,friar
haply some poison yet doth hang on them,juliet
O happy dagger,juliet
"here is a friar, that trembles, sighs and weeps",third watchman
my wife is dead tonight,montague
let my old life be sacrificed,friar
we still have known thee for a holy man,prince
all are punished,prince
"O brother montague, give me thy hand",capulet
for I will raise her statue in pure gold,montague
if love be rough with you be rough with love,mercutio
star-crossed lovers,prologue
"poor soul, thy face is much abused in tears",paris
"do what thou wilt, for I have done with thee",lady capulet
"hang, beg, starve, die in the streets",capulet
thou canst not speak of that thou dost not feel",romeo

