"What is the element symbol of ""Hydrogen""?",H
"What is the element symbol of ""Helium""?",He
"What is the element symbol of ""Lithium""?",Li
"What is the element symbol of ""Beryllium""?",Be
"What is the element symbol of ""Boron""?",B
"What is the element symbol of ""Carbon""?",C
"What is the element symbol of ""Nitrogen""?",N
"What is the element symbol of ""Oxygen""?",O
"What is the element symbol of ""Fluorine""?",F
"What is the element symbol of ""Neon""?",Ne
"What is the element symbol of ""Sodium""?",Na
"What is the element symbol of ""Magnesium""?",Mg
"What is the element symbol of ""Aluminium""?",Al
"What is the element symbol of ""Silicon""?",Si
"What is the element symbol of ""Phosphorus""?",P
"What is the element symbol of ""Sulfur""?",S
"What is the element symbol of ""Chlorine""?",Cl
"What is the element symbol of ""Argon""?",Ar
"What is the element symbol of ""Potassium""?",K
"What is the element symbol of ""Calcium""?",Ca
"What is the element symbol of ""Scandium""?",Sc
"What is the element symbol of ""Titanium""?",Ti
"What is the element symbol of ""Vanadium""?",V
"What is the element symbol of ""Chromium""?",Cr
"What is the element symbol of ""Manganese""?",Mn
"What is the element symbol of ""Iron""?",Fe
"What is the element symbol of ""Cobalt""?",Co
"What is the element symbol of ""Nickel""?",Ni
"What is the element symbol of ""Copper""?",Cu
"What is the element symbol of ""Zinc""?",Zn
"What is the element symbol of ""Gallium""?",Ga
"What is the element symbol of ""Germanium""?",Ge
"What is the element symbol of ""Arsenic""?",As
"What is the element symbol of ""Selenium""?",Se
"What is the element symbol of ""Bromine""?",Br
"What is the element symbol of ""Krypton""?",Kr
"What is the element symbol of ""Rubidium""?",Rb
"What is the element symbol of ""Strontium""?",Sr
"What is the element symbol of ""Yttrium""?",Y
"What is the element symbol of ""Zirconium""?",Zr
"What is the element symbol of ""Niobium""?",Nb
"What is the element symbol of ""Molybdenum""?",Mo
"What is the element symbol of ""Technetium""?",Tc
"What is the element symbol of ""Ruthenium""?",Ru
"What is the element symbol of ""Rhodium""?",Rh
"What is the element symbol of ""Palladium""?",Pd
"What is the element symbol of ""Silver""?",Ag
"What is the element symbol of ""Cadmium""?",Cd
"What is the element symbol of ""Indium""?",In
"What is the element symbol of ""Tin""?",Sn
"What is the element symbol of ""Antimony""?",Sb
"What is the element symbol of ""Tellurium""?",Te
"What is the element symbol of ""Iodine""?",I
"What is the element symbol of ""Xenon""?",Xe
"What is the element symbol of ""Cesium""?",Cs
"What is the element symbol of ""Barium""?",Ba
